SampleID,SampleNumber
M0804_1E_1A,FE01171
M0824_1E_1A,FE01172
M0770_2E_1A,FE01173
M0776_2E_1A,FE01174
M0753_2E_1A,FE01175
M0749_2E_1A,FE01176
C0126_9E_1A,FE01177
C0127_7E_1A,FE01178
C0825_1E_1A,FE01179
C0286_6E_1A,FE01180
C0296_6E_1A,FE01181
C0494_2E_1A,FE01182
M0834_1E_1A,FE01183
M0713_3E_1A,FE01184
C2018_3E_1A,FE01185
M0828_1E_1A,FE01186
M0822_1E_1A,FE01187
C0469_2E_1A,FE01188
C0837_1E_1A,FE01189
M0844_1E_1A,FE01190
M0769_2E_1A,FE01191
C0111_6E_1A,FE01192
C0110_7E_1A,FE01193
C0826_1E_1A,FE01194
C0827_1E_1A,FE01195
M0780_2E_1A,FE01196
C0076_8E_1A,FE01197
C0814_1E_1A,FE01198
M0839_1E_1A,FE01199
C0812_1E_1A,FE01200
C0385_4E_1A,FE01201
M0843_1E_1A,FE01202
C0477_3E_1A,FE01203
M0790_2E_1A,FE01204
M0849_1E_1A,FE01205
C0240_4E_1A,FE01206
C0518_2E_1A,FE01207
M0765_2E_1A,FE01208
C0249_4E_1A,FE01209
M0803_2E_1A,FE01210
C0078_3E_1A,FE01211
M0863_1E_1A,FE01212
M0847_1E_1A,FE01213
C0117_5E_1A,FE01214
C0747_1E_1A,FE01215
C0859_1E_1A,FE01216
M0752_3E_1A,FE01217
C0595_2E_1A,FE01218
M0851_1E_1A,FE01219
M0824_2E_1A,FE01220
M0804_2E_1A,FE01221
C0860_1E_1A,FE01222
C0853_1E_1A,FE01223
C0856_1E_1A,FE01224
C0830_1E_1A,FE01225
C0082_5E_1A,FE01226
C0067_7E_1A,FE01227
C0493_2E_1A,FE01228
M0776_3E_1A,FE01229
C0089_3E_1A,FE01230
M0769_3E_1A,FE01231
M0809_2E_1A,FE01232
M0858_1E_1A,FE01233
C0798_1E_1A,FE01234
C0005_3E_1A,FE01235
C0872_1E_1A,FE01236
C0871_1E_1A,FE01237
C0200_2E_2A,FE01238
C0511_2E_1A,FE01239
C0200_2E_1A,FE01240
C0405_6E_1A,FE01241
M0794_2E_1A,FE01242
M0886_1E_1A,FE01243
C0421_6E_1A,FE01244
C0879_1E_1A,FE01245
M0880_1E_1A,FE01246
